,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Male,0.16,0.13,0.16,0.12,0.12,0.11,0.12,0.12,0.12,0.11,0.10,0.11
Female,0.11,0.11,0.12,0.08,0.07,0.08,0.08,0.08,0.09,0.09,0.06,0.07
